run_idx,video_id,label,input_start_frame,input_end_frame,target_frame,window_len,window_size,window_stride,frame_skip_step
36,MVN-J-Boning-64-004,0,1759,1877,1878,60,60,30,2
36,MVN-J-Boning-64-004,0,1819,1937,1938,60,60,30,2
36,MVN-J-Boning-64-004,0,1879,1997,1998,60,60,30,2
36,MVN-J-Boning-64-004,0,1939,2057,2058,60,60,30,2
36,MVN-J-Boning-64-004,0,1999,2117,2118,60,60,30,2
36,MVN-J-Boning-64-004,0,2059,2177,2178,60,60,30,2
36,MVN-J-Boning-64-004,0,2179,2181,2182,2,60,30,2
37,MVN-J-Boning-64-004,3,2182,2300,2301,60,60,30,2
37,MVN-J-Boning-64-004,3,2302,2350,2351,25,60,30,2
38,MVN-J-Boning-64-004,4,2352,2529,2530,60,60,30,3
38,MVN-J-Boning-64-004,4,2442,2619,2620,60,60,30,3
38,MVN-J-Boning-64-004,4,2532,2709,2710,60,60,30,3
38,MVN-J-Boning-64-004,4,2622,2799,2800,60,60,30,3
38,MVN-J-Boning-64-004,4,2712,2889,2890,60,60,30,3
38,MVN-J-Boning-64-004,4,2802,2979,2980,60,60,30,3
38,MVN-J-Boning-64-004,4,2892,3069,3070,60,60,30,3
38,MVN-J-Boning-64-004,4,2982,3159,3160,60,60,30,3
38,MVN-J-Boning-64-004,4,3072,3249,3250,60,60,30,3
38,MVN-J-Boning-64-004,4,3162,3339,3340,60,60,30,3
38,MVN-J-Boning-64-004,4,3252,3429,3430,60,60,30,3
38,MVN-J-Boning-64-004,4,3342,3519,3520,60,60,30,3
38,MVN-J-Boning-64-004,4,3432,3609,3610,60,60,30,3
38,MVN-J-Boning-64-004,4,3522,3699,3700,60,60,30,3
38,MVN-J-Boning-64-004,4,3612,3789,3790,60,60,30,3
38,MVN-J-Boning-64-004,4,3792,3825,3826,12,60,30,3
39,MVN-J-Boning-64-004,3,3828,3940,3941,57,60,30,2
40,MVN-J-Boning-64-004,4,3941,4118,4119,60,60,30,3
40,MVN-J-Boning-64-004,4,4031,4208,4209,60,60,30,3
40,MVN-J-Boning-64-004,4,4211,4211,4212,1,60,30,3
41,MVN-J-Boning-64-004,8,4214,4332,4333,60,60,20,2
41,MVN-J-Boning-64-004,8,4254,4372,4373,60,60,20,2
41,MVN-J-Boning-64-004,8,4294,4412,4413,60,60,20,2
41,MVN-J-Boning-64-004,8,4334,4452,4453,60,60,20,2
41,MVN-J-Boning-64-004,8,4374,4492,4493,60,60,20,2
41,MVN-J-Boning-64-004,8,4414,4532,4533,60,60,20,2
41,MVN-J-Boning-64-004,8,4454,4572,4573,60,60,20,2
41,MVN-J-Boning-64-004,8,4494,4612,4613,60,60,20,2
41,MVN-J-Boning-64-004,8,4534,4652,4653,60,60,20,2
41,MVN-J-Boning-64-004,8,4654,4674,4675,11,60,20,2
42,MVN-J-Boning-64-004,0,4676,4794,4795,60,60,30,2
42,MVN-J-Boning-64-004,0,4736,4854,4855,60,60,30,2
42,MVN-J-Boning-64-004,0,4796,4914,4915,60,60,30,2
42,MVN-J-Boning-64-004,0,4856,4974,4975,60,60,30,2
42,MVN-J-Boning-64-004,0,4976,5030,5031,28,60,30,2
43,MVN-J-Boning-64-005,4,0,177,178,60,60,30,3
43,MVN-J-Boning-64-005,4,90,267,268,60,60,30,3
43,MVN-J-Boning-64-005,4,180,357,358,60,60,30,3
43,MVN-J-Boning-64-005,4,270,447,448,60,60,30,3
43,MVN-J-Boning-64-005,4,360,537,538,60,60,30,3
43,MVN-J-Boning-64-005,4,450,627,628,60,60,30,3
43,MVN-J-Boning-64-005,4,540,717,718,60,60,30,3
43,MVN-J-Boning-64-005,4,630,807,808,60,60,30,3
43,MVN-J-Boning-64-005,4,720,897,898,60,60,30,3
43,MVN-J-Boning-64-005,4,810,987,988,60,60,30,3
43,MVN-J-Boning-64-005,4,900,1077,1078,60,60,30,3
43,MVN-J-Boning-64-005,4,990,1167,1168,60,60,30,3
43,MVN-J-Boning-64-005,4,1080,1257,1258,60,60,30,3
43,MVN-J-Boning-64-005,4,1170,1347,1348,60,60,30,3
43,MVN-J-Boning-64-005,4,1260,1437,1438,60,60,30,3
43,MVN-J-Boning-64-005,4,1350,1527,1528,60,60,30,3
43,MVN-J-Boning-64-005,4,1440,1617,1618,60,60,30,3
43,MVN-J-Boning-64-005,4,1530,1707,1708,60,60,30,3
43,MVN-J-Boning-64-005,4,1620,1797,1798,60,60,30,3
43,MVN-J-Boning-64-005,4,1800,1884,1885,29,60,30,3
44,MVN-J-Boning-64-005,3,1885,1933,1934,25,60,30,2
45,MVN-J-Boning-64-005,4,1934,2111,2112,60,60,30,3
45,MVN-J-Boning-64-005,4,2114,2126,2127,5,60,30,3
46,MVN-J-Boning-64-005,8,2129,2247,2248,60,60,20,2
46,MVN-J-Boning-64-005,8,2169,2287,2288,60,60,20,2
46,MVN-J-Boning-64-005,8,2209,2327,2328,60,60,20,2
46,MVN-J-Boning-64-005,8,2329,2333,2334,3,60,20,2
47,MVN-J-Boning-64-006,2,0,118,119,60,60,30,2
47,MVN-J-Boning-64-006,2,60,178,179,60,60,30,2
47,MVN-J-Boning-64-006,2,120,238,239,60,60,30,2
47,MVN-J-Boning-64-006,2,180,298,299,60,60,30,2
47,MVN-J-Boning-64-006,2,300,346,347,24,60,30,2
48,MVN-J-Boning-64-006,1,347,465,466,60,60,30,2
48,MVN-J-Boning-64-006,1,407,525,526,60,60,30,2
48,MVN-J-Boning-64-006,1,467,585,586,60,60,30,2
48,MVN-J-Boning-64-006,1,587,597,598,6,60,30,2
49,MVN-J-Boning-64-006,0,598,716,717,60,60,30,2
49,MVN-J-Boning-64-006,0,658,776,777,60,60,30,2
49,MVN-J-Boning-64-006,0,718,836,837,60,60,30,2
49,MVN-J-Boning-64-006,0,778,896,897,60,60,30,2
49,MVN-J-Boning-64-006,0,838,956,957,60,60,30,2
49,MVN-J-Boning-64-006,0,898,1016,1017,60,60,30,2
49,MVN-J-Boning-64-006,0,958,1076,1077,60,60,30,2
49,MVN-J-Boning-64-006,0,1018,1136,1137,60,60,30,2
49,MVN-J-Boning-64-006,0,1138,1166,1167,15,60,30,2
50,MVN-J-Boning-64-006,3,1167,1285,1286,60,60,30,2
50,MVN-J-Boning-64-006,3,1287,1327,1328,21,60,30,2
51,MVN-J-Boning-64-006,4,1329,1506,1507,60,60,30,3
51,MVN-J-Boning-64-006,4,1419,1596,1597,60,60,30,3
51,MVN-J-Boning-64-006,4,1509,1686,1687,60,60,30,3
51,MVN-J-Boning-64-006,4,1599,1776,1777,60,60,30,3
51,MVN-J-Boning-64-006,4,1689,1866,1867,60,60,30,3
51,MVN-J-Boning-64-006,4,1779,1956,1957,60,60,30,3
51,MVN-J-Boning-64-006,4,1869,2046,2047,60,60,30,3
51,MVN-J-Boning-64-006,4,1959,2136,2137,60,60,30,3
51,MVN-J-Boning-64-006,4,2049,2226,2227,60,60,30,3
51,MVN-J-Boning-64-006,4,2139,2316,2317,60,60,30,3
51,MVN-J-Boning-64-006,4,2229,2406,2407,60,60,30,3
51,MVN-J-Boning-64-006,4,2319,2496,2497,60,60,30,3
51,MVN-J-Boning-64-006,4,2409,2586,2587,60,60,30,3
51,MVN-J-Boning-64-006,4,2499,2676,2677,60,60,30,3
51,MVN-J-Boning-64-006,4,2589,2766,2767,60,60,30,3
51,MVN-J-Boning-64-006,4,2769,2799,2800,11,60,30,3
52,MVN-J-Boning-64-006,3,2802,2876,2877,38,60,30,2
53,MVN-J-Boning-64-006,4,2877,3054,3055,60,60,30,3
53,MVN-J-Boning-64-006,4,3057,3105,3106,17,60,30,3
54,MVN-J-Boning-64-006,8,3107,3225,3226,60,60,20,2
54,MVN-J-Boning-64-006,8,3147,3265,3266,60,60,20,2
54,MVN-J-Boning-64-006,8,3187,3305,3306,60,60,20,2
54,MVN-J-Boning-64-006,8,3227,3345,3346,60,60,20,2
54,MVN-J-Boning-64-006,8,3267,3385,3386,60,60,20,2
54,MVN-J-Boning-64-006,8,3387,3391,3392,3,60,20,2
55,MVN-J-Boning-64-006,0,3392,3510,3511,60,60,30,2
55,MVN-J-Boning-64-006,0,3452,3570,3571,60,60,30,2
55,MVN-J-Boning-64-006,0,3512,3630,3631,60,60,30,2
55,MVN-J-Boning-64-006,0,3572,3690,3691,60,60,30,2
55,MVN-J-Boning-64-006,0,3632,3750,3751,60,60,30,2
55,MVN-J-Boning-64-006,0,3752,3792,3793,21,60,30,2
56,MVN-J-Boning-79-001,0,0,50,51,26,60,30,2
57,MVN-J-Boning-79-001,3,51,159,160,55,60,30,2
58,MVN-J-Boning-79-001,4,160,337,338,60,60,30,3
58,MVN-J-Boning-79-001,4,250,427,428,60,60,30,3
58,MVN-J-Boning-79-001,4,340,517,518,60,60,30,3
58,MVN-J-Boning-79-001,4,430,607,608,60,60,30,3
58,MVN-J-Boning-79-001,4,520,697,698,60,60,30,3
58,MVN-J-Boning-79-001,4,610,787,788,60,60,30,3
58,MVN-J-Boning-79-001,4,700,877,878,60,60,30,3
58,MVN-J-Boning-79-001,4,790,967,968,60,60,30,3
58,MVN-J-Boning-79-001,4,880,1057,1058,60,60,30,3
58,MVN-J-Boning-79-001,4,970,1147,1148,60,60,30,3
58,MVN-J-Boning-79-001,4,1060,1237,1238,60,60,30,3
58,MVN-J-Boning-79-001,4,1150,1327,1328,60,60,30,3
58,MVN-J-Boning-79-001,4,1240,1417,1418,60,60,30,3
58,MVN-J-Boning-79-001,4,1330,1507,1508,60,60,30,3
58,MVN-J-Boning-79-001,4,1420,1597,1598,60,60,30,3
58,MVN-J-Boning-79-001,4,1510,1687,1688,60,60,30,3
58,MVN-J-Boning-79-001,4,1600,1777,1778,60,60,30,3
58,MVN-J-Boning-79-001,4,1780,1801,1802,8,60,30,3
59,MVN-J-Boning-79-001,8,1803,1921,1922,60,60,20,2
59,MVN-J-Boning-79-001,8,1843,1961,1962,60,60,20,2
59,MVN-J-Boning-79-001,8,1883,2001,2002,60,60,20,2
59,MVN-J-Boning-79-001,8,1923,2041,2042,60,60,20,2
59,MVN-J-Boning-79-001,8,2043,2059,2060,9,60,20,2
60,MVN-J-Boning-79-001,0,2061,2179,2180,60,60,30,2
60,MVN-J-Boning-79-001,0,2181,2233,2234,27,60,30,2
61,MVN-J-Boning-79-001,2,2234,2352,2353,60,60,30,2
61,MVN-J-Boning-79-001,2,2294,2412,2413,60,60,30,2
61,MVN-J-Boning-79-001,2,2354,2472,2473,60,60,30,2
61,MVN-J-Boning-79-001,2,2414,2532,2533,60,60,30,2
61,MVN-J-Boning-79-001,2,2474,2592,2593,60,60,30,2
61,MVN-J-Boning-79-001,2,2534,2652,2653,60,60,30,2
61,MVN-J-Boning-79-001,2,2594,2712,2713,60,60,30,2
61,MVN-J-Boning-79-001,2,2654,2772,2773,60,60,30,2
61,MVN-J-Boning-79-001,2,2714,2832,2833,60,60,30,2
61,MVN-J-Boning-79-001,2,2774,2892,2893,60,60,30,2
61,MVN-J-Boning-79-001,2,2834,2952,2953,60,60,30,2
61,MVN-J-Boning-79-001,2,2894,3012,3013,60,60,30,2
61,MVN-J-Boning-79-001,2,2954,3072,3073,60,60,30,2
61,MVN-J-Boning-79-001,2,3014,3132,3133,60,60,30,2
61,MVN-J-Boning-79-001,2,3074,3192,3193,60,60,30,2
61,MVN-J-Boning-79-001,2,3134,3252,3253,60,60,30,2
61,MVN-J-Boning-79-001,2,3194,3312,3313,60,60,30,2
61,MVN-J-Boning-79-001,2,3254,3372,3373,60,60,30,2
61,MVN-J-Boning-79-001,2,3314,3432,3433,60,60,30,2
61,MVN-J-Boning-79-001,2,3434,3488,3489,28,60,30,2
62,MVN-J-Boning-79-001,0,3489,3607,3608,60,60,30,2
62,MVN-J-Boning-79-001,0,3609,3625,3626,9,60,30,2
63,MVN-J-Boning-79-001,3,3627,3745,3746,60,60,30,2
63,MVN-J-Boning-79-001,3,3687,3805,3806,60,60,30,2
63,MVN-J-Boning-79-001,3,3807,3837,3838,16,60,30,2
64,MVN-J-Boning-79-001,4,3839,4016,4017,60,60,30,3
64,MVN-J-Boning-79-001,4,3929,4106,4107,60,60,30,3
64,MVN-J-Boning-79-001,4,4019,4196,4197,60,60,30,3
64,MVN-J-Boning-79-001,4,4109,4286,4287,60,60,30,3
64,MVN-J-Boning-79-001,4,4199,4376,4377,60,60,30,3
64,MVN-J-Boning-79-001,4,4289,4466,4467,60,60,30,3
64,MVN-J-Boning-79-001,4,4379,4556,4557,60,60,30,3
64,MVN-J-Boning-79-001,4,4469,4646,4647,60,60,30,3
64,MVN-J-Boning-79-001,4,4559,4736,4737,60,60,30,3
64,MVN-J-Boning-79-001,4,4649,4826,4827,60,60,30,3
64,MVN-J-Boning-79-001,4,4739,4916,4917,60,60,30,3
64,MVN-J-Boning-79-001,4,4829,5006,5007,60,60,30,3
64,MVN-J-Boning-79-001,4,4919,5096,5097,60,60,30,3
64,MVN-J-Boning-79-001,4,5009,5186,5187,60,60,30,3
64,MVN-J-Boning-79-001,4,5099,5276,5277,60,60,30,3
64,MVN-J-Boning-79-001,4,5189,5366,5367,60,60,30,3
64,MVN-J-Boning-79-001,4,5279,5456,5457,60,60,30,3
64,MVN-J-Boning-79-001,4,5369,5546,5547,60,60,30,3
64,MVN-J-Boning-79-001,4,5459,5636,5637,60,60,30,3
64,MVN-J-Boning-79-001,4,5549,5726,5727,60,60,30,3
64,MVN-J-Boning-79-001,4,5639,5816,5817,60,60,30,3
64,MVN-J-Boning-79-001,4,5819,5888,5889,24,60,30,3
65,MVN-J-Boning-79-001,8,5891,6009,6010,60,60,20,2
65,MVN-J-Boning-79-001,8,5931,6049,6050,60,60,20,2
65,MVN-J-Boning-79-001,8,5971,6089,6090,60,60,20,2
65,MVN-J-Boning-79-001,8,6011,6129,6130,60,60,20,2
65,MVN-J-Boning-79-001,8,6131,6147,6148,9,60,20,2
66,MVN-J-Boning-79-001,0,6149,6267,6268,60,60,30,2
66,MVN-J-Boning-79-001,0,6209,6327,6328,60,60,30,2
66,MVN-J-Boning-79-001,0,6329,6335,6336,4,60,30,2
67,MVN-J-Boning-79-001,2,6337,6455,6456,60,60,30,2
67,MVN-J-Boning-79-001,2,6397,6515,6516,60,60,30,2
67,MVN-J-Boning-79-001,2,6457,6575,6576,60,60,30,2
67,MVN-J-Boning-79-001,2,6577,6613,6614,19,60,30,2
68,MVN-J-Boning-79-001,0,6614,6732,6733,60,60,30,2
68,MVN-J-Boning-79-001,0,6674,6792,6793,60,60,30,2
68,MVN-J-Boning-79-001,0,6734,6852,6853,60,60,30,2
68,MVN-J-Boning-79-001,0,6794,6912,6913,60,60,30,2
68,MVN-J-Boning-79-001,0,6854,6972,6973,60,60,30,2
68,MVN-J-Boning-79-001,0,6914,7032,7033,60,60,30,2
68,MVN-J-Boning-79-001,0,6974,7092,7093,60,60,30,2
68,MVN-J-Boning-79-001,0,7034,7152,7153,60,60,30,2
68,MVN-J-Boning-79-001,0,7094,7212,7213,60,60,30,2
68,MVN-J-Boning-79-001,0,7154,7272,7273,60,60,30,2
68,MVN-J-Boning-79-001,0,7214,7332,7333,60,60,30,2
68,MVN-J-Boning-79-001,0,7274,7392,7393,60,60,30,2
68,MVN-J-Boning-79-001,0,7334,7452,7453,60,60,30,2
68,MVN-J-Boning-79-001,0,7394,7512,7513,60,60,30,2
68,MVN-J-Boning-79-001,0,7454,7572,7573,60,60,30,2
68,MVN-J-Boning-79-001,0,7514,7632,7633,60,60,30,2
68,MVN-J-Boning-79-001,0,7574,7692,7693,60,60,30,2
68,MVN-J-Boning-79-001,0,7634,7752,7753,60,60,30,2
68,MVN-J-Boning-79-001,0,7694,7812,7813,60,60,30,2
68,MVN-J-Boning-79-001,0,7754,7872,7873,60,60,30,2
68,MVN-J-Boning-79-001,0,7814,7932,7933,60,60,30,2
68,MVN-J-Boning-79-001,0,7874,7992,7993,60,60,30,2
68,MVN-J-Boning-79-001,0,7934,8052,8053,60,60,30,2
